Name,Adresse,GebDatum,Telefon
Ing. Ingeborg van der Dussen,"Anatolij-Kroker-Gasse 461,05498 Euskirchen",1912-05-05,0381256393
Jörgen Kitzmann,"Wilmsenring 49,28350 Ingolstadt",1989-04-29,01018 148067
Bernard Hörle,"Patricia-Stiebitz-Gasse 7,61410 Eutin",2019-09-10,(01215) 925671
Clemens Wulff-Hartung,"Meinrad-Dobes-Gasse 530,74451 Biedenkopf",1925-06-18,(03692) 640334
Traute Löchel,"Freudenbergerweg 00,46005 Wetzlar",1917-10-02,+49(0)1280 28267
Adrian Klapp,"Austermühleweg 99,50571 Werdau",1939-12-26,+49(0) 028302547
Sarina Ernst,"Mona-Rosemann-Platz 55,67499 Geldern",2019-07-09,0879267573
Univ.Prof. Aldo Jähn,"Eimergasse 79,30201 Mainburg",1938-01-26,(00802) 007890
Ing. Justus Schlosser,"Wendeweg 53,82469 Haldensleben",2005-10-02,+49(0)1505 30557
Univ.Prof. Klaus-Peter Vogt,"Hövelweg 8,22488 Northeim",2006-06-26,02152 822659
Hermann-Josef Peukert,"Eleni-Ebert-Gasse 78,66864 Füssen",1967-03-15,05471 07377
Steve Dussen van,"Kochstr. 01,53418 Merseburg",1973-04-06,+49 (0) 9297 695876
Viviane Hörle,"Rädelring 25,31201 Borken",1979-10-22,+49 (0) 2865 359194
Rolf-Peter Junck,"Krokerplatz 7,61864 Mittweida",1947-07-25,02244 72193
Gunar Naser,"Gerti-Bruder-Weg 1,08920 Bützow",1920-01-01,+49(0)0650 069480
Dr. Milka Bien,"Pechelstr. 3,35293 Waren",2001-09-30,+49 (0) 1299 564637
Larissa Kabus,"Löwerstraße 35,30960 Sternberg",1971-03-24,+49(0)3335 18506
Malte Baum,"Donald-Mülichen-Platz 49,09159 Aue",1965-05-03,+49(0)9459 285016
Friederike Krebs,"Süßebiergasse 8,31057 Worbis",1947-07-26,+49(0) 135961659
Rotraut Jüttner,"Hans-Georg-Döring-Gasse 7,16645 Kronach",1977-01-26,03785811731
Calogero Henschel,"Gerolf-Schuster-Allee 28,62203 Heiligenstadt",1998-03-04,+49(0)4597 638763
Ulrike Girschner,"Anatolij-Fröhlich-Platz 667,62555 Eisenhüttenstadt",1939-09-18,+49(0)3761358196
Dipl.-Ing. Yvette Liebelt,"Drewesgasse 6,82565 Erding",1983-01-13,+49(0) 352777867
Volkhard Jungfer,"Harloffplatz 6,41761 Bad Langensalza",1986-03-08,+49(0)2768 718955
Henryk Rose,"Löfflerweg 91,91780 Hoyerswerda",2006-08-09,07088 88759
Timo Ditschlerin,"Schuchhardtring 732,38184 Freising",1952-03-13,+49(0)2793 669030
Stjepan Seifert,"Liliane-Rudolph-Allee 772,83000 Neunburg vorm Wald",1909-03-01,(04250) 342653
Jelena Vollbrecht,"Zorbachplatz 249,89678 Delitzsch",1948-09-21,(07811) 606234
Ing. Peter Tlustek,"Gnatzstr. 51,46898 Bremervörde",2007-09-27,+49(0)4232565699
Maike Heintze-Hendriks,"Mendeplatz 57,12456 Bamberg",1916-11-10,(00907) 906129
Alina Tschentscher,"Sybilla-Köster-Platz 31,50503 Dieburg",1925-05-17,01791 40971
Theda Kabus,"Nicolai-Junk-Weg 07,70079 Wetzlar",1977-04-06,0527520904
Aloys Vogt-Käster,"Björn-auch Schlauchin-Allee 82,72792 Altentreptow",2008-12-02,+49(0)0017991160
Prof. Klaus Peter Gorlitz,"Paffrathring 217,75257 Wertingen",1918-07-15,+49(0)9821 95407
Prof. Sükrü Hermighausen,"Strohstraße 228,26979 Burg",1934-05-23,+49(0)0442156704
Dino Mohaupt,"Scheelgasse 99,00129 Bützow",1924-07-25,+49(0)2501768918
Dipl.-Ing. Raphael Heuser,"Loretta-Lindau-Gasse 155,44634 Ribnitz-Damgarten",1987-05-24,05963 06912
Dipl.-Ing. Stefani Drubin,"Cläre-Loos-Platz 06,35747 Schmölln",1974-06-04,(05432) 799132
Ing. Violetta Dehmel,"Eimerstraße 477,11123 Eisenach",1939-10-31,+49(0)4206967253
Dipl.-Ing. Magret Zänker,"Eberhardtstraße 71,61580 Gardelegen",1931-03-01,+49(0)7524 11603
Prof. Ian Lindau,"Haasering 67,18731 Ribnitz-Damgarten",1932-09-11,+49(0)7173 433220
Dr. Kornelia Holzapfel,"Claudius-Jockel-Gasse 29,06138 Heinsberg",1955-08-18,+49 (0) 2512 932357
Prof. Senta Stahr,"Kösterstraße 70,15412 Forst",2002-03-17,+49(0) 792778785
Hulda Wiek,"Grafstraße 3,36523 Quedlinburg",1963-11-10,+49(0) 596572574
Alexa Kusch,"Netteallee 24,73960 Donaueschingen",1976-01-09,(01506) 718532
Hans Jürgen Lange,"Edward-Roskoth-Weg 14,28997 Eutin",1945-02-10,04329 70554
Torsten Liebelt,"Mijo-Wieloch-Platz 715,49531 Stadtroda",1926-02-11,01740004604
Ing. Miroslav Steinberg,"Trübplatz 65,55852 Hamburg",1984-06-16,+49 (0) 9863 246765
Hubertine Kade,"Wilfried-Mosemann-Weg 20,96603 Suhl",1989-06-17,+49 (0) 5151 585569
Natali Roskoth,"Hella-Heser-Allee 958,73434 Düren",1931-02-04,(05480) 527516
Hans-Friedrich Kusch,"Anett-Täsche-Allee 8,93533 Büsingen am Hochrhein",1939-06-17,0748400743
Janine Hörle,"Hethurgasse 979,48486 Berlin",1982-01-11,(05023) 814097
Jo Gerlach-Weihmann,"Schülerallee 3,37873 Pritzwalk",1919-05-14,+49(0)8396554068
Adelbert Dörschner,"Gerhart-Ehlert-Allee 81,64701 Rudolstadt",2022-12-05,06013 30903
Tino Cichorius,"Schollgasse 025,02338 Kassel",1935-06-16,00795 59531
Prof. Ljiljana Preiß,"Steinbergplatz 39,20426 Sonneberg",1985-01-31,+49(0) 828410247
Magret Heinz,"Miodrag-Mangold-Allee 580,37413 Rockenhausen",1914-07-07,+49(0)7498 04349
Mirjam Kusch,"Heidrichallee 44,70941 Flöha",1969-02-21,+49 (0) 8693 848398
Dipl.-Ing. Edelbert Mans,"Scholzring 349,12487 Aachen",1946-06-22,(03513) 22607
Doreen Fischer,"Barkholzgasse 159,71215 Schweinfurt",1972-06-11,05209 539127
Leonore Kallert,"Carsten-Schmidt-Ring 98,50905 Dieburg",2003-10-10,+49(0)7502 44638
Monica Franke,"Geißlerring 4,67079 Altentreptow",1946-09-19,+49(0)6324 402305
Valeska Bärer,"Hertha-Mitschke-Ring 63,98800 Rastatt",2009-12-11,+49(0)9079510485
Ing. Annelore Gorlitz,"Frieder-Wende-Platz 54,55563 Düren",1912-09-19,03448361553
Dr. Nora Martin,"Hedwig-Dobes-Gasse 721,98155 Altentreptow",2005-03-02,+49(0)0693788060
Liselotte Hartmann,"Jobst-Wirth-Ring 6,45267 Lobenstein",2012-03-20,+49(0)6035 886374
Anatolij Eimer,"Volker-Stroh-Allee 35,78100 Kitzingen",1920-10-12,+49(0)6571 833796
Margitta Krein-Hartmann,"Pechelgasse 53,68743 Stuttgart",1910-12-09,+49(0) 738874688
Emma Hübel,"Reichmannstraße 9,26696 Gerolzhofen",1962-10-29,+49(0)1018 268365
Birthe Wende,"Aleksander-Ditschlerin-Platz 8,55132 Mayen",1976-09-29,00372 95518
Bernadette Rose,"Eva-Maria-Naser-Straße 30,64967 Ebern",1936-03-14,06097 60902
Ellen Keudel,"Geißlerweg 3,40514 Döbeln",1908-07-29,+49(0)6570 649759
Imelda Römer-Dobes,"Kühnertgasse 19,50929 Neustadtner Waldnaab",1908-03-20,+49 (0) 8887 991853
Danuta Kohl,"Mendeallee 291,14055 Merseburg",1926-12-16,02624 683036
Britt Carsten,"Kay-Uwe-Drewes-Ring 149,40590 Kusel",2022-07-07,+49(0)9875 966398
Dr. Michaele Klemt,"Filippo-Hahn-Platz 297,23899 Erding",2011-11-22,+49 (0) 5058 854844
Maya Berger,"Brigitta-Binner-Ring 3,36461 Werdau",1998-07-18,+49(0) 443856760
Branka Gute,"Monique-Stey-Weg 22,75435 Berlin",1947-08-08,+49(0) 346846797
Birgitta Möchlichen,"Baumgasse 547,00670 Einbeck",1979-12-10,+49(0)9853 66650
Dr. Ina Walter,"Lilian-Gunpf-Ring 61,97214 Greiz",1985-12-25,+49(0)2549694406
Maik Seifert-Hettner,"Klemmring 90,12652 Spremberg",1978-07-15,00423 08250
Ing. Thies Eigenwillig,"Kochstraße 933,65435 Osterode am Harz",2022-02-11,+49(0)4910445140
Univ.Prof. Adolf Scheuermann,"Jasmina-Zahn-Straße 796,58303 Marktheidenfeld",1969-08-20,+49(0) 702605112
Prof. Danielle Röhricht,"Valeri-Höfig-Ring 9,28211 Dinslaken",1966-12-19,(08843) 493807
Hans-Otto Sager-Schleich,"Wernerweg 9,95289 Zeulenroda",1945-06-17,+49(0) 090239639
Ing. Frieda Ernst,"Klaus Dieter-Faust-Ring 85,96636 Witzenhausen",1946-04-10,+49(0)2661108575
Jonas Mentzel,"Julian-Herrmann-Straße 9,46470 Viersen",1948-11-28,+49(0) 389392714
Swantje Jäkel-Naser,"Dowergstr. 25,13869 Brand",1910-11-01,+49(0) 497863916
Hiltraud Hamann,"Benderstr. 629,47929 Bad Kreuznach",1960-08-07,+49(0)3028 50779
Andrea Ullrich,"Sepp-Jäntsch-Gasse 27,52357 Rothenburg ob der Tauber",1916-08-19,+49(0)0477 548319
Univ.Prof. Freia Heintze,"Heidrichstr. 68,56982 Schleiz",1938-05-17,+49(0) 058966053
Hans-Dieter Weiß,"Marie-Theres-Adolph-Gasse 850,56536 Lippstadt",2002-02-19,+49(0)8325 074277
Janina Stey,"Gumprichring 83,22186 Gelnhausen",1955-04-02,06383158007
Raimund Mentzel-Anders,"Tlustekgasse 4,54153 Chemnitz",1987-07-22,(07387) 917470
Brita Hörle,"Gundolf-Jähn-Weg 33,09904 Meißen",1938-12-16,+49(0) 103141133
Marlene Trupp,"Stahrplatz 68,89430 Apolda",2001-09-04,(05824) 965630
Kay-Uwe Mitschke-Wagenknecht,"Schaafstr. 918,39127 Karlsruhe",1941-07-28,+49(0)1207570023
Dusan Bähr,"Gutestr. 47,37086 Stade",2010-08-28,01390220819
Agnes Davids,"Steffi-Schmiedt-Allee 82,00868 Lippstadt",1994-07-13,+49(0) 335095760
Magret Gute-Hübel,"Nurten-Trubin-Gasse 70,80840 Kleve",1927-01-10,(04331) 10981
Abbas Schmiedt-Kramer,"Hillergasse 83,76450 Wittenberg",1969-05-02,(07493) 33069
Miodrag Rose,"Traute-Klingelhöfer-Weg 425,05882 Coburg",2016-05-19,+49(0) 847648499
Hansjoachim Kohl-Schaaf,"Recep-Salz-Allee 273,33256 Gadebusch",2020-03-09,04631 46962
Univ.Prof. Flora Trupp,"Ottostraße 08,04476 Pirmasens",2009-12-12,+49(0) 120595790
Lorenzo Koch,"Herrmannstr. 00,91397 Luckenwalde",1982-04-04,(03048) 80670
Ing. Erhardt Rogner,"Mansallee 90,99985 Säckingen",1932-04-27,08924 131258
Mina Drewes,"Weihmannallee 589,30395 Genthin",2020-04-25,+49 (0) 4415 699065
Ing. Hildegard Förster,"Jäntschplatz 995,29005 Schwäbisch Gmünd",1969-12-16,03309 23211
Ing. Eva-Marie Niemeier,"Kochstr. 21,77695 Heinsberg",1966-10-02,01713563587
Chantal Gehringer,"Saban-Kallert-Ring 8,11460 Belzig",2020-04-25,+49 (0) 4798 686148
Lars Hoffmann-Stiffel,"Udo-Pärtzelt-Allee 33,62887 Mayen",2001-04-14,+49 (0) 7097 049128
Theda Kaul,"Zenon-Stolze-Platz 38,28153 Kronach",1950-08-15,+49(0)2080 127131
Hans-Walter Sorgatz,"Erhard-Conradi-Platz 5,18187 Weimar",1951-12-14,+49(0) 386882573
Alexei Kallert,"Langering 8,95072 Böblingen",1980-11-28,(09065) 248190
Irmela Kobelt,"Ackermannplatz 84,19197 Böblingen",2022-01-17,07874 22346
Cosima Rosemann,"Kaspar-Steinberg-Weg 90,97841 Fürstenwalde",1938-10-12,01575420626
Leyla Faust,"Mirco-Kreusel-Gasse 568,51836 Bad Kissingen",1915-11-19,+49 (0) 6543 660310
Jörg-Peter Weitzel,"Kabusstr. 12,24474 Stendal",1965-05-22,+49(0)2154 19959
Anna Heser,"Alice-Löwer-Ring 12,65278 Passau",2019-06-04,+49 (0) 0400 721576
Marija Martin,"Marlen-Gute-Ring 6,43563 Greifswald",1944-06-24,+49(0)3877 831675
Dipl.-Ing. Änne Mentzel,"Vladimir-Werner-Gasse 34,01658 Siegen",2015-03-05,03397627982
Pero Köster,"Schmidtplatz 43,59469 Neustadt am Rübenberge",2020-12-10,05424 36372
Wanda Girschner,"Hans Georg-Klapp-Gasse 86,88163 Düren",1954-08-15,+49(0) 234777137
Agnieszka Drubin-Pechel,"Hans-Herbert-Scholtz-Weg 89,39023 Hildburghausen",1975-06-06,(08798) 66576
Dipl.-Ing. Antonie Scholz,"Ludmila-Vollbrecht-Straße 30,24652 Rockenhausen",1963-11-18,04648 775764
Dr. Hans-Werner Christoph,"Bettina-Pohl-Weg 99,55550 Steinfurt",1990-03-07,+49(0) 253747464
Eugenie Heidrich,"Ritterstraße 80,43840 Hohenmölsen",1913-02-08,+49(0)5187 625203
Gerhild Nohlmans,"Gotthardstraße 53,77896 Gera",1998-09-03,(04437) 599022
Heinz-Otto Radisch,"Löfflerplatz 04,14648 Bremen",2006-07-11,+49 (0) 9414 777006
Frieder Wähner,"Michaela-Trupp-Straße 61,76963 Kaiserslautern",1954-04-02,0913926870
Gisa Weitzel,"Caterina-Mielcarek-Gasse 2,45926 Roth",1948-01-06,(04856) 734617
Ing. Paulo Röhricht,"Waltergasse 22,94946 Plauen",2014-01-07,(00359) 56593
Traudl Spieß,"Ziegertgasse 1,57207 Stuttgart",1942-02-12,(05185) 697015
Christiane Barkholz,"Siegrid-Heintze-Ring 97,92460 Ebersberg",1954-05-19,+49(0) 108101046
Prof. Dittmar Dörschner,"Schleichweg 669,90705 Mallersdorf",1952-01-30,+49 (0) 1109 937788
Hans-Michael Schmidtke,"Horst-Günter-Hiller-Allee 3,61506 Göppingen",1993-04-26,+49(0) 901940242
Piotr Lange,"Rolf-Peter-Lehmann-Gasse 661,72407 Strausberg",1993-05-10,(02129) 139484
Slobodan Jacob,"Försterstraße 25,60691 Berchtesgaden",1939-04-12,0967900521
Geza Baum-Martin,"Wulffplatz 384,63014 Kehl",1927-03-21,+49(0)3414571469
Ingbert Mans,"Loosgasse 17,89140 Melle",1948-03-25,+49(0) 643615835
Bianka Scholtz,"Nico-Dietz-Platz 275,24971 Bautzen",1991-05-31,00373 56753
Univ.Prof. Albrecht Jäntsch,"Lachmannstr. 0,94856 Cuxhaven",1980-02-06,+49(0)4798 442424
Cristina Walter,"Hölzenbecherstraße 41,36621 Bremen",1912-03-22,00356 245317
Rüdiger Schmidtke,"Lidija-Schmiedt-Allee 62,58594 Parsberg",2008-01-29,06058 30042
Kläre Ruppersberger,"Hermannweg 67,93458 Illertissen",1929-08-11,09760 521354
Georgine Heidrich,"Friedrich-Klemt-Ring 8,73376 Teterow",1969-07-22,05953 74003
Luciano Hertrampf,"Handegasse 0,02918 Kamenz",1968-01-04,(09313) 242614
